File, M, N, Makespan, Sorted
N_100_1.txt, 10, 100, 414, false
N_100_2.txt, 10, 100, 423, false
N_100_3.txt, 10, 100, 384, false
N_100_4.txt, 10, 100, 429, false
N_100_5.txt, 10, 100, 397, false
N_100_6.txt, 10, 100, 397, false
N_100_7.txt, 10, 100, 428, false
N_100_8.txt, 10, 100, 421, false
N_100_9.txt, 10, 100, 429, false
N_100_10.txt, 10, 100, 479, false
N_250_1.txt, 15, 250, 693, false
N_250_2.txt, 15, 250, 690, false
N_250_3.txt, 15, 250, 671, false
N_250_4.txt, 15, 250, 706, false
N_250_5.txt, 15, 250, 693, false
N_250_6.txt, 15, 250, 694, false
N_250_7.txt, 15, 250, 656, false
N_250_8.txt, 15, 250, 705, false
N_250_9.txt, 15, 250, 660, false
N_250_10.txt, 15, 250, 671, false
N_500_1.txt, 22, 500, 941, false
N_500_2.txt, 22, 500, 925, false
N_500_3.txt, 22, 500, 916, false
N_500_4.txt, 22, 500, 923, false
N_500_5.txt, 22, 500, 956, false
N_500_6.txt, 22, 500, 905, false
N_500_7.txt, 22, 500, 940, false
N_500_8.txt, 22, 500, 955, false
N_500_9.txt, 22, 500, 930, false
N_500_10.txt, 22, 500, 939, false
N_100_1.txt, 10, 100, 382, true
N_100_2.txt, 10, 100, 388, true
N_100_3.txt, 10, 100, 349, true
N_100_4.txt, 10, 100, 392, true
N_100_5.txt, 10, 100, 385, true
N_100_6.txt, 10, 100, 369, true
N_100_7.txt, 10, 100, 377, true
N_100_8.txt, 10, 100, 401, true
N_100_9.txt, 10, 100, 397, true
N_100_10.txt, 10, 100, 444, true
N_250_1.txt, 15, 250, 648, true
N_250_2.txt, 15, 250, 659, true
N_250_3.txt, 15, 250, 639, true
N_250_4.txt, 15, 250, 669, true
N_250_5.txt, 15, 250, 654, true
N_250_6.txt, 15, 250, 657, true
N_250_7.txt, 15, 250, 622, true
N_250_8.txt, 15, 250, 673, true
N_250_9.txt, 15, 250, 635, true
N_250_10.txt, 15, 250, 638, true
N_500_1.txt, 22, 500, 893, true
N_500_2.txt, 22, 500, 895, true
N_500_3.txt, 22, 500, 881, true
N_500_4.txt, 22, 500, 890, true
N_500_5.txt, 22, 500, 909, true
N_500_6.txt, 22, 500, 867, true
N_500_7.txt, 22, 500, 906, true
N_500_8.txt, 22, 500, 915, true
N_500_9.txt, 22, 500, 887, true
N_500_10.txt, 22, 500, 899, true
